index,Country,Year,currency,price in currency,price in international $,price in US$
142,South Sudan,2010,Not applicable,Not applicable,Not applicable,Not applicable
143,South Sudan,2008,Not applicable,Not applicable,Not applicable,Not applicable
144,Spain,2014,EUR,4.95,6.82,6.62
145,Sri Lanka,2014,LKR,700.00,10.78,5.38
146,Sudan,2014,SDG,24.00,5.74,4.21
147,Suriname,2014,SRD,13.00,5.61,3.94
148,Sweden,2014,SEK,58.95,6.50,8.55
149,Switzerland,2014,CHF,8.40,5.21,9.24
150,Tajikistan,2014,TJS,12.00,5.42,2.42
151,Thailand,2014,THB,90.00,5.07,2.81
152,Timor-Leste,2014,USD,2.00,10.00,2.00
153,Togo,2014,XOF,1000.00,3.40,2.04
154,Tonga,2014,TOP,10.00,9.77,5.51
155,Trinidad and Tobago,2014,TTD,25.00,3.82,3.91
156,Tunisia,2014,TND,5.45,7.43,3.17
157,Turkey,2014,TRY,10.00,7.02,4.78
158,Turkmenistan,2014,TMT,13.00,5.86,4.56
159,Tuvalu,2014,AUD,5.07,5.08,4.73
160,Uganda,2014,UGX,6000.00,5.20,2.29
161,Ukraine,2014,UAH,18.00,4.18,1.49
162,United Arab Emirates,2014,AED,10.00,1.90,2.72
163,United Kingdom of Great Britain and Northern Ireland,2014,GBP,9.00,13.18,15.19
164,United Republic of Tanzania,2014,TZS,5000.00,7.30,3.02
165,United States of America,2014,Not applicable,Not applicable,Not applicable,Not applicable
166,Uruguay,2014,UYU,85.00,3.95,3.65
167,Uzbekistan,2014,UZS,5000.00,4.36,2.14
168,Vanuatu,2014,VUV,760.00,12.56,7.97
169,Venezuela (Bolivarian Republic of),2014,VEF,95.00,15.97,15.12
170,Viet Nam,2014,VND,22750.00,2.18,1.07
171,Yemen,2014,YER,300.00,2.05,1.40
172,Zambia,2014,ZMW,30.00,6.00,4.89
173,Zimbabwe,2014,USD,2.00,1.61,2.00
