COUNTRY,TOBACCO PRODUCTS INCLUDED,YEAR,CURRENCY*,TOTAL EXCISE (SPECIFIC AND AD VALOREM),VALUE ADDED TAX (VAT) AND OTHER SALES TAXES,IMPORT DUTIES AND ALL OTHER TAXES (EXCLUDING CORPORATE TAXES ON TOBACCO COMPANIES),TOTAL REVENUES
Namibia,All Tobacco products,2016,NAD,1 843 555 043.93,  49 866 131 525.20,  3 552 644 449.75,  55 262 331 018.88
Nauru,All Tobacco products,2016,AUD,. . .,. . .,. . .,   3 860 000.00
Nepal,All Tobacco products,2017,NPR,14 037 356 000.00,. . .,. . .,. . .
Netherlands,All Tobacco products,2017,EUR,2 397 000 000.00,. . .,. . .,. . .
New Zealand,All Tobacco products,2017,NZD,1 777 000 000.00,. . .,. . .,. . .
Nicaragua,Cigarettes only,2016,. .,1 105 374 986.66,   270 388 334.37,   3 231 944.16,  1 378 995 265.19
Niger,All Tobacco products,2017,XOF,23 951 256 380.00,  6 634 651 736.00,   3 426 969.00,  30 586 908 116.00
Nigeria,All Tobacco products,2017,NGN,10 335 393 310.20,. . .,. . .,. . .
Niue,All Tobacco Products,2015,NZD,. . .,. . .,    270 408.52,    270 408.52
North Macedonia,All Tobacco products,2017,EUR, 179 000 000.00,. . .,. . .,. . .
Norway,All Tobacco products,2017,NOK,7 100 000 000.00,. . .,. . .,. . .
Oman,All Tobacco products,2017,OMR,—,—,   82 322 077.00,   82 322 077.00
Pakistan,Cigarettes only,2017,PKR,66 131 000 000.00,  17 562 000 000.00,. . .,. . .
Palau,All Tobacco products,2017,USD, 8 129 918.00,. . .,. . .,   8 129 918.00
Panama,All Tobacco products,2017,PAB, 26 129 944.34,. . .,. . .,. . .
Papua New Guinea,All Tobacco products,2017,PGK, 412 089 862.35,. . .,. . .,   412 089 862.35
Paraguay,All Tobacco Products,2016,PYG,373 331 947 525.00,  107 082 787 937.00,  117 022 271 115.00,  597 437 006 577.00
Peru,Cigarettes only,2017,PEN, 335 824 200.00,   145 855 850.00,    116 701.92,   481 796 751.92
Philippines,Cigarettes only,2018,PHP,133 660 000 000.00,. . .,. . .,. . .
Poland,All Tobacco products,2017,PLN,18 782 600 000.00,. . .,. . .,. . .
Portugal,All Tobacco products,2017,EUR,1 438 660 000.00,. . .,. . .,. . .
Qatar,. . .,2017,QAR,—,—,   419 546 951.00,. . .
